name,population,weight,non_zero_count,n_appeared,banz_prob,power
CA,39538223,54,2303608758.0,5000093886.0,0.2303565503489828,0.1107983012651421
TX,29145505,40,1587690635.0,5000026821.0,0.15876821183555807,0.07636428047152562
FL,21538187,30,1164933533.0,4999993363.0,0.11649350793348242,0.05603063284724687
NY,20201249,28,1083212063.0,4999985892.0,0.1083215119399781,0.052100017450233224
PA,13002700,19,725777193.0,4999890524.0,0.07257930843847412,0.034908219463099986
IL,12812508,19,725803800.0,5000003415.0,0.07258033042763432,0.034909499198815315
OH,11799448,17,648068575.0,5000011955.0,0.06480670254717421,0.031170613049614625
GA,10711908,16,609338909.0,4999955190.0,0.06093443699442434,0.029307804885483513
NC,10439388,16,609338009.0,4999977558.0,0.06093407439649952,0.02930776159754636
MI,10077331,15,570753886.0,5000002777.0,0.05707535690034677,0.0274519537181229
NJ,9288994,14,532261897.0,5000005322.0,0.05322613304610399,0.02560057727292337
VA,8631393,13,493893474.0,5000034237.0,0.04938900921369831,0.023755144069103954
WA,7705281,12,455571732.0,4999972514.0,0.04555742363826923,0.021911956114389185
AZ,7151502,11,417350379.0,5000077199.0,0.04173439352931078,0.02007359664047745
MA,7029917,11,417375932.0,5000056624.0,0.04173712053545736,0.020074825681208608
TN,6910840,11,417337631.0,4999976678.0,0.0417339577638726,0.02007298349089655
IN,6785528,11,417341560.0,5000077446.0,0.04173350958132339,0.02007317246679107
MD,6177224,10,379183323.0,4999987364.0,0.037918428127451564,0.018237848727814084
MO,6154913,10,379190257.0,5000026702.0,0.03791882319831659,0.018238182237320988
WI,5893718,10,379161829.0,5000022531.0,0.037916012042866534,0.018236814915679484
CO,5773714,10,379166317.0,5000018285.0,0.037916493039384953,0.018237030778192748
MN,5706494,10,379182311.0,5000042981.0,0.03791790515010375,0.018237800052933646
SC,5118425,9,341075935.0,4999992190.0,0.034107646776144263,0.016404970709188466
AL,5024279,9,341059612.0,4999962345.0,0.034106218053928163,0.016404185610301658
LA,4657757,8,303029771.0,4999973700.0,0.03030313649449796,0.014575037424634162
KY,4505836,8,303031835.0,5000025378.0,0.030303029693942487,0.014575136698303364
OR,4237256,8,303013843.0,4999953084.0,0.030301668626617055,0.014574271324341992
OK,3959353,7,265049941.0,5000000929.0,0.02650498917537301,0.012748294653438776
CT,3605944,7,265017808.0,5000001897.0,0.02650177074522818,0.012746749129789334
UT,3271616,6,227074891.0,5000024140.0,0.022707379468771927,0.010921781789287374
IA,3190369,6,227072014.0,5000029860.0,0.022707065793403083,0.010921643412181612
NV,3104614,6,227086005.0,4999952127.0,0.02270881792784813,0.01092231634721349
AR,3011524,6,227087520.0,4999948065.0,0.02270898787825709,0.01092238921524103
MS,2961279,6,227100331.0,5000015154.0,0.02270996427064029,0.010923005394977531
KS,2937880,6,227079889.0,5000001717.0,0.02270798110207929,0.01092202218163169
NM,2117522,5,189186819.0,4999945194.0,0.018918889273729107,0.009099452367577737
NE,1961504,5,189194945.0,5000103445.0,0.018919103082676323,0.009099843209552509
ID,1839106,4,151300899.0,5000036384.0,0.015129979802162976,0.0072772264521356
WV,1793716,4,151292134.0,5000071756.0,0.015128996280748577,0.00727680487572545
HI,1455271,4,151317443.0,4999995134.0,0.015131759026227884,0.007278022180615866
NH,1377529,4,151301925.0,4999987181.0,0.015130231290886984,0.007277275800383953
ME,1362359,4,151309218.0,4999977231.0,0.015130990703505465,0.007277626576968007
RI,1097379,4,151299618.0,4999930903.0,0.015130170889883596,0.007277164838971721
MT,1084225,4,151295873.0,5000014538.0,0.015129543309339875,0.007276984713055462
DC,989948,3,113455170.0,4999990642.0,0.01134553823430936,0.00545693363167354
SD,886667,3,113464775.0,5000032937.0,0.01134640275670648,0.005457395610158365
ND,779094,3,113455770.0,5000033689.0,0.011345500556286352,0.005456962490298307
AK,733391,3,113454093.0,5000077086.0,0.01134523438825239,0.005456881830442082
DE,689545,3,113448974.0,4999994451.0,0.011344909990581107,0.0054566356182751035
VT,643077,3,113443212.0,4999970600.0,0.011344387905000881,0.005456358479281916
WY,576851,3,113469254.0,4999993474.0,0.011346940210026362,0.005457611039792257
