name,population,weight,non_zero_count,n_appeared,banz_prob,power
CA,37253956,55,2355781221.0,4999993934.0,0.23557840790372447,0.11361733772686049
TX,25145561,38,1494258100.0,5000034413.0,0.14942478156899838,0.07206680556131187
FL,19378102,29,1119841530.0,5000030473.0,0.11198347050554065,0.054009010760585466
NY,18801310,29,1119856024.0,4999938647.0,0.11198697654739442,0.054009709793958485
PA,12830632,20,762302645.0,5000067248.0,0.07622923924722382,0.0367652124462894
IL,12702379,20,762299859.0,4999979420.0,0.07623029966391341,0.036765078079863484
OH,11536504,18,684585005.0,4999986110.0,0.0684586906782427,0.03301695633808156
GA,9883640,16,607350195.0,4999912046.0,0.06073608789637497,0.029291986712797376
NC,9687653,15,568884500.0,5000045399.0,0.056887933468941686,0.027436818745265042
MI,9535483,16,607312811.0,4999990881.0,0.060731391861912475,0.029290183714065693
NJ,8791894,14,530564724.0,5000022831.0,0.05305623013464196,0.025588688327805684
VA,8001024,13,492257200.0,5000043071.0,0.04922529596345551,0.02374114881395377
WA,6724540,12,454060417.0,4999922018.0,0.04540674988183386,0.021898950244959147
AZ,6547629,11,415966343.0,5000016577.0,0.041596496390975866,0.02006170524424861
MA,6483802,11,415988242.0,5000054344.0,0.041598372075613586,0.020062761414514633
TN,6392017,11,415975374.0,5000044288.0,0.04159716894891632,0.020062140801747695
IN,6346105,11,415962232.0,5000014709.0,0.04159610083259057,0.020061506974192275
MD,5988927,10,377931769.0,5000016837.0,0.03779304963568466,0.018227329878262418
MO,5773552,10,377947922.0,5000000214.0,0.03779479058238296,0.018228108923803638
WI,5686986,10,377941230.0,5000079593.0,0.03779352138005056,0.01822778617429817
CO,5303925,9,339982343.0,4999842130.0,0.03399930779414429,0.016397061128368813
MN,5029196,10,377946228.0,5000014022.0,0.03779451680905706,0.018228027223615013
SC,4779736,9,339971358.0,5000108267.0,0.03399639966235955,0.0163965313311008
AL,4625364,9,339992048.0,4999959830.0,0.03399947795180586,0.01639752919231839
LA,4533372,8,302034697.0,5000073872.0,0.03020302346845007,0.014566878226371165
KY,4339367,8,302054574.0,4999991862.0,0.03020550656248248,0.014567836877285717
OR,3831074,7,264176547.0,5000026127.0,0.026417516657908455,0.012741011640832174
OK,3751351,7,264173925.0,4999972282.0,0.026417538948268912,0.012740885183987683
CT,3574097,7,264192712.0,4999919460.0,0.026419696768475547,0.012741791265123252
UT,3046355,6,226364652.0,5000106287.0,0.02263598401783334,0.010917375894859145
IA,2967297,6,226349372.0,4999957583.0,0.02263512922285525,0.010916638953370271
NV,2915918,6,226377876.0,5000010597.0,0.022637739621574646,0.010918013677205277
AR,2853118,6,226340606.0,4999978697.0,0.022634157035089465,0.01091621617659727
MS,2763885,6,226350891.0,4999992368.0,0.02263512365025274,0.010916712213456763
KS,2700551,6,226347591.0,4999998519.0,0.02263476580441763,0.01091655305724516
NM,2059179,5,188565195.0,4999987172.0,0.01885656787841055,0.009094340023116394
NE,1852994,5,188555982.0,5000039688.0,0.018855448532991724,0.009093895687911092
ID,1826341,4,150819034.0,5000091285.0,0.015081628054716604,0.007273874572420176
WV,1567582,5,188565481.0,5000023161.0,0.0188564607531025,0.009094353816654733
HI,1360301,4,150824391.0,4999976803.0,0.015082509073792596,0.007274132936003677
NH,1328361,4,150830004.0,5000015772.0,0.015082952822333618,0.007274403646250867
ME,1316470,4,150810292.0,4999998510.0,0.01508103369414804,0.0072734529531468944
RI,1052567,4,150830552.0,5000036703.0,0.015082944482137735,0.007274430075827823
MT,989415,3,113092211.0,5000045375.0,0.011309118469749887,0.005454341777123949
DE,897934,3,113093429.0,5000038196.0,0.011309256506327697,0.005454400520234777
SD,814180,3,113099475.0,4999952221.0,0.011310055576629079,0.005454692113706095
ND,710231,3,113108759.0,5000024886.0,0.011310819603788668,0.005455139873181403
AK,672591,3,113096955.0,4999913298.0,0.011309891618044613,0.005454570576235417
DC,625741,3,113106015.0,5000003432.0,0.01131059373640846,0.005455007532379998
VT,601723,3,113111633.0,4999995563.0,0.01131117333753522,0.005455278483772963
WY,563626,3,113114084.0,5000053218.0,0.011311288007174966,0.005455396693431943
